
Rurik Happy
Saveliy Unpersuasive
Chernobog Jaundiced
Fedya Funny
Rodya Subjective
Zakhar Mighty
Chernobog Languishing
Koldan Preventable
Ambrosii Throbbing
Vlad Pitiless
Yevgeni Aloof
Bogatir Unexpressive
Inna Viral
Feodosiy Standing
Illarion Fruitless
Yaroslav Provisional
Ilya Unopened
Naum Sunny
Avgustin Standard
Ivan Echoing
Pankratii Funny
Koldan Tolerable
Feofil Consoling
Lyov Innate
Spiridon Lithographic
Georgii Flawed
Ipatiy Quintessential
Melor Favorite
Afanasii Disarming
Sasha Preconceived
Evgeniy Catatonic
Aleksey Shimmering
Koloda Retroactive
Boleslav Military
Timofey Soft
Timofiy Inoffensive
Modest Authoritative
Modya Lasting
Antoniy Luxurious
Isai Shortsighted
Foma Period
Stefan Mystified
Fedir Hypnotizable
Filipp Desperate
Luka Freckled
